artist_id,artist_name,popularity
188836,belgrade philharmonic orchestra,0.46
3372098,armour ink,0.3
41307,mickey sylvia,0.5
11517,cliff richard and the shadows,0.53
169746,tape five,0.48
455530,studio sound group,0.5
2029020,disco trap,0.46
8293,foo fighters,0.75
784347,macshawn100,0.34
3131778,spanish guitar guitar and relajacion y guitarra acustica,0.3
894352,ocean sounds collection,0.44
14304,junior,0.5
409555,artillery,0.48
1071941,101 classical music masterpieces,0.61
1985210,hillaryjane,0.48
2414,the band,0.59
2044822,lady gaga r kelly,0.51
3381487,meditation sounds of nature,0.3
293537,mani matter,0.48
1863582,the greatest bits,0.49
2315915,david guetta kaz james,0.3
3344688,zipper club,0.32
485370,noora noor,0.47
15942,wayne shorter,0.5
2335580,laura doggett,0.5
2082948,progressive goa trance,0.48
3090174,belly the weeknd,0.49
1879588,alejandro fernández christina aguilera,0.51
1031702,dj omidia,0.46
249776,dj rashad,0.47
3957,esthero,0.48
15660,nana mouskouri,0.58
24317,actress,0.47
2552341,barry bostwick,0.47
98837,zacarias ferreira,0.5
109339,daler mehndi,0.52
1240175,badbadnotgood,0.49
410976,palavra cantada,0.49
379,buzzcocks,0.55
3268947,gone is gone,0.3
463632,the crewcuts,0.46
1006463,josh abbott band,0.5
757357,the blossom street singers,0.47
3313491,hamburger symphoniker ludwig van beethoven johan frank,0.3
2559534,ady suleiman,0.56
133898,antonio pinto,0.53
1487553,lil wayne drake future,0.53
27001,york,0.47
3434560,dizzy gillespie y arturo sandoval,0.29
598235,brantley gilbert,0.65
484035,gordon giltrap,0.46
1349855,dynatron,0.47
1356962,deorro,0.62
2771765,luch millions,0.29
50609,greg kihn,0.47
2385462,ncc worship,0.46
699980,kvelertak,0.57
914208,top 40 hits,0.52
1255433,papa grows funk,0.46
278326,hell 's black roses,0.52
11189,maximo park,0.54
42895,moonbootica,0.48
19362,ramli sarip,0.46
127940,bernard butler,0.47
1540958,drake white,0.51
1134064,toni der assi,0.48
332317,tall ships,0.5
3271913,social club misfits,0.5
3192434,hailee steinfeld dnce,0.46
4051,leela james,0.53
354413,for today,0.52
16341,les innocents,0.46
71575,goblin,0.47
26691,bodyrox,0.48
2002149,karaoke 365,0.47
326526,ted hawkins,0.46
3443273,neiked dyo,0.3
101102,noor jehan,0.5
20075,matt redman,0.66
1345645,hit makers 2012,0.46
88426,little tony,0.46
1460721,chief keef rick ross,0.47
334678,pixie lott,0.59
1029425,darondo,0.48
